max_east_usage,max_east_supply,max_temperature,w_date
41.8,13.6,30.4,2016-10-01
41.7,13.5,30.6,2016-10-02
46.5,14,31.5,2016-10-03
47.6,13.8,31.6,2016-10-04
46.6,14.8,30.8,2016-10-05
44.7,13.4,28.6,2016-10-06
43.1,13.9,26,2016-10-07
44.5,14.2,24.7,2016-10-08
43.8,14.1,24.9,2016-10-09
44.6,13.9,28.3,2016-10-10
45.9,14.1,29.9,2016-10-11
46.4,14.2,30.6,2016-10-12
45.7,14.1,31.1,2016-10-13
45.8,12.4,30.3,2016-10-14
47.5,14.1,31.6,2016-10-15
46.2,14.4,30.8,2016-10-16
47,14.3,31.2,2016-10-17
48.4,14.2,31,2016-10-18
46.1,11.4,30.9,2016-10-19
43.4,13.3,29.3,2016-10-20
44.8,14.4,31.3,2016-10-21
46,14.2,31.3,2016-10-22
45.1,14.2,31.6,2016-10-23
45.5,14.3,30,2016-10-24
45.2,14.6,30.3,2016-10-25
45.8,15.8,31.2,2016-10-26
46.8,13.9,31.3,2016-10-27
45.6,13.5,31.3,2016-10-28
43.3,12.6,30.7,2016-10-29
41.6,15.4,28,2016-10-30
44.5,13.1,30.2,2016-10-31
43.8,11.3,28.7,2016-11-01
44.2,12.1,27.1,2016-11-02
41.2,11,26.9,2016-11-03
40.4,7.6,28.3,2016-11-04
40.8,7.5,28.7,2016-11-05
41,8.8,29.4,2016-11-06
41.6,8.5,28.4,2016-11-07
42.5,8.5,29.1,2016-11-08
39,7.5,25.4,2016-11-09
39,10.3,27.2,2016-11-10
41.5,8.2,25.9,2016-11-11
41,7.7,28.1,2016-11-12
43.1,7.1,29.1,2016-11-13
42.9,6.5,28.8,2016-11-14
44.5,5.5,28.7,2016-11-15
42.1,7,28.9,2016-11-16
43.5,4.7,29.2,2016-11-17
41.2,7.1,30,2016-11-18
43.8,7.3,29.9,2016-11-19
40,6.3,25.7,2016-11-20
42.2,4.7,26.1,2016-11-21
40.8,6.9,24.9,2016-11-22
39.8,7.6,24.1,2016-11-23
38.4,7.7,24.7,2016-11-24
41.4,8.4,26.7,2016-11-25
42.8,8.3,28.4,2016-11-26
40.3,8.9,22.2,2016-11-27
41.2,9,22.7,2016-11-28
40.8,7.8,24.4,2016-11-29
40.9,8.3,24.1,2016-11-30
40.4,7.9,25.5,2016-12-01
40.6,6.9,25.2,2016-12-02
41.8,7.2,27.3,2016-12-03
40.7,8.6,28.7,2016-12-04
41.8,8.7,28.2,2016-12-05
39.8,7.4,25.2,2016-12-06
40.8,4.7,24.8,2016-12-07
40.4,4.4,26.2,2016-12-08
42.1,5.6,26.5,2016-12-09
41.8,4.3,26.8,2016-12-10
40,4.6,26.7,2016-12-11
41.9,7.8,27.6,2016-12-12
40.9,7.6,27.3,2016-12-13
41.9,4,25.2,2016-12-14
40.5,6.2,20.5,2016-12-15
38.1,4.8,18.2,2016-12-16
40.4,6.1,22.1,2016-12-17
38.1,5.3,26,2016-12-18
40.3,7.8,26.5,2016-12-19
41.5,7.5,27.3,2016-12-20
43.4,3.2,25.5,2016-12-21
43.6,3.2,27.9,2016-12-22
41.5,3.3,23.5,2016-12-23
40.8,3.2,23.2,2016-12-24
41.6,3.2,25.9,2016-12-25
43.4,3.2,27.3,2016-12-26
42.7,4,23.8,2016-12-27
42.6,6.4,19.3,2016-12-28
42.4,6.3,21.6,2016-12-29
40.3,5,21.8,2016-12-30
42.8,3.2,25.3,2016-12-31
40.9,3,25.1,2017-01-01
41.1,2.9,26.6,2017-01-02
39.6,2.4,26.5,2017-01-03
41.7,2.6,26.2,2017-01-04
41.6,2.6,26.9,2017-01-05
40.4,6.6,27.4,2017-01-06
42.3,7.4,27.5,2017-01-07
41.3,7.1,27,2017-01-08
41.2,4.7,24.3,2017-01-09
40.3,4.5,23.6,2017-01-10
41.5,3.4,25.2,2017-01-11
41.2,4.4,21.8,2017-01-12
40,6,21.8,2017-01-13
38.7,5.9,19.1,2017-01-14
40.4,6.6,20.4,2017-01-15
40.3,6.9,23,2017-01-16
40.6,6.7,23.4,2017-01-17
41.4,4.3,24.8,2017-01-18
40.9,6.9,26.8,2017-01-19
39.5,6.8,21,2017-01-20
40.5,6.7,21.1,2017-01-21
39.6,4,19.6,2017-01-22
39.2,5.6,20.2,2017-01-23
37.3,4.5,22.2,2017-01-24
NULL,NULL,22.5,2017-01-25
NULL,NULL,22.8,2017-01-26
NULL,NULL,24.6,2017-01-27
NULL,NULL,25.5,2017-01-28
NULL,NULL,24,2017-01-29
NULL,NULL,27.2,2017-01-30
NULL,NULL,21.6,2017-01-31
NULL,NULL,22.9,2017-02-01
NULL,NULL,22.3,2017-02-02
NULL,NULL,25.4,2017-02-03
NULL,NULL,21.8,2017-02-04
NULL,NULL,24.3,2017-02-05
NULL,NULL,22.4,2017-02-06
NULL,NULL,23.8,2017-02-07
NULL,NULL,26,2017-02-08
NULL,NULL,20,2017-02-09
NULL,NULL,15.4,2017-02-10
NULL,NULL,13.6,2017-02-11
NULL,NULL,15.1,2017-02-12
NULL,NULL,21.8,2017-02-13
NULL,NULL,22.2,2017-02-14
NULL,NULL,24.5,2017-02-15
NULL,NULL,25.3,2017-02-16
NULL,NULL,25.8,2017-02-17
NULL,NULL,26.4,2017-02-18
NULL,NULL,25.4,2017-02-19
NULL,NULL,24.5,2017-02-20
NULL,NULL,24.6,2017-02-21
NULL,NULL,27.2,2017-02-22
NULL,NULL,24,2017-02-23
NULL,NULL,22.2,2017-02-24
NULL,NULL,22.8,2017-02-25
NULL,NULL,20.9,2017-02-26
NULL,NULL,21.2,2017-02-27
NULL,NULL,24.2,2017-02-28
NULL,NULL,25,2017-03-01
NULL,NULL,21.8,2017-03-02
NULL,NULL,21.1,2017-03-03
NULL,NULL,25.1,2017-03-04
NULL,NULL,27.1,2017-03-05
NULL,NULL,26.1,2017-03-06
NULL,NULL,18.8,2017-03-07
NULL,NULL,16.9,2017-03-08
NULL,NULL,23,2017-03-09
NULL,NULL,28.5,2017-03-10
NULL,NULL,24.3,2017-03-11
NULL,NULL,26.7,2017-03-12
NULL,NULL,27.3,2017-03-13
NULL,NULL,22.9,2017-03-14
NULL,NULL,21.4,2017-03-15
NULL,NULL,21.1,2017-03-16
NULL,NULL,24.8,2017-03-17
NULL,NULL,26.9,2017-03-18
NULL,NULL,27.1,2017-03-19
NULL,NULL,27.3,2017-03-20
NULL,NULL,26.6,2017-03-21
NULL,NULL,26.6,2017-03-22
NULL,NULL,24.4,2017-03-23
NULL,NULL,24.3,2017-03-24
NULL,NULL,27.1,2017-03-25
NULL,NULL,18.5,2017-03-26
NULL,NULL,24.6,2017-03-27
NULL,NULL,25,2017-03-28
NULL,NULL,23.4,2017-03-29
NULL,NULL,25.2,2017-03-30
NULL,NULL,29.3,2017-03-31
NULL,NULL,20.3,2017-04-01
NULL,NULL,22.5,2017-04-02
NULL,NULL,23.9,2017-04-03
NULL,NULL,26.3,2017-04-04
NULL,NULL,27.9,2017-04-05
NULL,NULL,28.9,2017-04-06
NULL,NULL,27.2,2017-04-07
NULL,NULL,29.1,2017-04-08
NULL,NULL,30,2017-04-09
NULL,NULL,29.3,2017-04-10
NULL,NULL,28.9,2017-04-11
NULL,NULL,21.8,2017-04-12
NULL,NULL,22,2017-04-13
NULL,NULL,24.8,2017-04-14
NULL,NULL,29.8,2017-04-15
NULL,NULL,30.5,2017-04-16
NULL,NULL,30.2,2017-04-17
NULL,NULL,30.3,2017-04-18
42.7,6.3,30.6,2017-04-19
43.7,5.9,30.6,2017-04-20
42.4,12.4,31.5,2017-04-21
37.3,15.8,23.6,2017-04-22
37.2,15.9,23.2,2017-04-23
38.5,16.3,24.2,2017-04-24
43.1,14,28.8,2017-04-25
41.4,13.3,31.9,2017-04-26
38.5,17.6,24.2,2017-04-27
37.9,17.6,21.7,2017-04-28
38.9,14.2,25.4,2017-04-29
40.4,10.9,27.3,2017-04-30
41.9,9.8,28.2,2017-05-01
43.2,10.7,30.5,2017-05-02
43.2,10.5,30.3,2017-05-03
42.2,9.5,30.7,2017-05-04
41.6,9.3,31.7,2017-05-05
41.9,8.8,30.6,2017-05-06
42.1,9.3,29.3,2017-05-07
43.6,10.4,30.5,2017-05-08
47,10.4,33.9,2017-05-09
44.9,9.6,31.2,2017-05-10
43.1,12.6,31.9,2017-05-11
40.9,8.5,31.6,2017-05-12
41.9,7.5,32.5,2017-05-13
40.1,9.5,30.2,2017-05-14
43.6,8.3,31.1,2017-05-15
40.1,16.3,26.8,2017-05-16
40.9,16.7,26,2017-05-17
41,13.2,28.7,2017-05-18
39.3,11.6,25.8,2017-05-19
40.9,13,26.4,2017-05-20
41,12,30.2,2017-05-21
43.5,12.2,29.9,2017-05-22
44,12.2,28.4,2017-05-23
43.8,10.7,32,2017-05-24
41.3,9.6,26.7,2017-05-25
38.7,10.4,26.5,2017-05-26
41.5,16.1,28.1,2017-05-27
41.6,13.5,27.5,2017-05-28
41.6,12.5,29.8,2017-05-29
41.6,12.8,29.1,2017-05-30
46,12.6,30.9,2017-05-31
46.4,17.2,32.1,2017-06-01
45.7,17.5,30.3,2017-06-02
41.9,14,27.4,2017-06-03
43,14,27.7,2017-06-04
45.5,14,31.4,2017-06-05
47.4,14.1,32.6,2017-06-06
48.3,14.5,32.3,2017-06-07
47.6,16.9,32.4,2017-06-08
46.3,17.2,32.6,2017-06-09
47.2,17.1,32.8,2017-06-10
49,16,33.6,2017-06-11
50.8,17.4,33.7,2017-06-12
48.2,11.7,32.8,2017-06-13
44.2,11.8,32.5,2017-06-14
40.9,17.3,26.9,2017-06-15
42.4,14.9,30.4,2017-06-16
42.1,14.6,27.9,2017-06-17
43.3,14.7,30.6,2017-06-18
42.6,14.5,33.5,2017-06-19
44.8,14.3,33.3,2017-06-20
47.4,17.1,33.2,2017-06-21
49.5,17,33.7,2017-06-22
50,17.1,34,2017-06-23
50,14.4,34.9,2017-06-24
49.4,16.3,34.1,2017-06-25
51.8,15.4,33.5,2017-06-26
48.8,15,33.9,2017-06-27
50.7,14.4,33.5,2017-06-28
51.6,14.3,34.1,2017-06-29
48.8,9.7,33.7,2017-06-30
